name,Gaia alert name,Calib server name,Gaiadr2 id,ra,dec,Classification,Priority,Cadence
Gaia18cnr,Gaia18cnr,ivo://Gaia18cnr,4145839709299512320,273.541255167,-15.2600071232
Gaia18csy,Gaia18csy,ivo://Gaia18csy,5869960395078082560,202.750376779,-59.7201691936
Gaia18cwd,Gaia18cwd,ivo://Gaia18cwd,5979392480963223936,259.268126437,-33.2055057564
Gaia18cwv,Gaia18cwv,ivo://Gaia18cwv,4041594775705167616,268.199046517,-34.5227261803
Gaia18cym,Gaia18cym,ivo://Gaia18cym,4147954791715805184,267.243546631,-15.7755026715
Gaia18dds,Gaia18dds,ivo://Gaia18dds,1869325421135595904,311.916789858,34.2516273328
Gaia18dep,Gaia18dep,ivo://Gaia18dep,5304738163418696192,135.150492676,-56.5468706193
Gaia18dif,Gaia18dif,ivo://Gaia18dif,6062222162216723840,197.551605389,-58.8040743367
Gaia18dig,Gaia18dig,ivo://Gaia18dig,5865947899157152640,210.554069896,-63.1798941213
Gaia18diq,Gaia18diq,ivo://Gaia18diq,5873827239999352192,222.411087304,-64.6780786294
Gaia18djl,Gaia18djl,ivo://Gaia18djl,6711950559752550912,284.336006849,-44.3512455996
Gaia18dkp,Gaia18dkp,ivo://Gaia18dkp,5333024955501597056,178.780880378,-63.3825220132
Gaia18dma,Gaia18dma,ivo://Gaia18dma,4317181146047724160,295.35753174,13.872627318
Gaia18dmf,Gaia18dmf,ivo://Gaia18dmf,2047317043493139200,295.484361011,34.4145480692
Gaia18dml,Gaia18dml,ivo://Gaia18dml,2019620276882200960,292.144184461,23.1339076036
Gaia18dvi,Gaia18dvi,ivo://Gaia18dvi,2028409734172869248,297.879559327,28.1869788784
Gaia18dvw,Gaia18dvw,ivo://Gaia18dvw,1871189123406864640,311.962842067,37.9041497749
Gaia18eaa,Gaia18eaa,ivo://Gaia18eaa,5892753438596934400,215.53558291,-56.1412692109
Gaia18eaz,Gaia18eaz,ivo://Gaia18eaz,5848400548276396928,219.37580883,-67.2788097309
Gaia19aen,Gaia19aen,ivo://Gaia19aen,5869553232165414016,200.608911448,-60.3231492744
Gaia19aik,Gaia19aik,ivo://Gaia19aik,2062414368951680000,303.689982426,40.2574221606
Gaia19akf,Gaia19akf,ivo://Gaia19akf,2033440755781957888,298.56646301,30.9063553112
Gaia19apc,Gaia19apc,ivo://Gaia19apc,4319638829412887680,290.986762024,14.0880364225
Gaia19apm,Gaia19apm,ivo://Gaia19apm,4117234303750068480,264.843107478,-21.8636475325
Gaia19apt,Gaia19apt,ivo://Gaia19apt,4159960049935738880,276.623201191,-7.30423293227
Gaia19apx,Gaia19apx,ivo://Gaia19apx,4143476790090091136,270.535346703,-18.4848829445
Gaia19aqb,Gaia19aqb,ivo://Gaia19aqb,4154403599207674752,275.087968428,-10.6404767817
