name ,type, ra,dec
Gaia19bpx ,SIDERAL, 321.534727605,43.7405811073
Gaia19brt ,SIDERAL, 297.706149526,34.6373503774
Gaia19bsy ,SIDERAL, 296.908160777,14.2931973881
Gaia19bzf ,SIDERAL, 290.66330243,19.5504094125
Gaia19chi ,SIDERAL, 232.035341249,-67.0209180275
Gaia19cmd ,SIDERAL, 226.438080312,-57.635825575
Gaia19cnm ,SIDERAL, 227.936833539,-57.0571012694
Gaia19cwr ,SIDERAL, 166.025165921,-61.0412145619
Gaia19cyv ,SIDERAL, 318.263333454,43.3376328525
Gaia19dak ,SIDERAL, 302.365159542,29.9358818483
Gaia19dke ,SIDERAL, 291.49451048,28.4068621146
Gaia19dmj ,SIDERAL, 301.399490662,26.1676893436
Gaia19dov ,SIDERAL, 295.100031642,19.7057651406
Gaia19dow ,SIDERAL, 287.213173184,11.9480622718
Gaia19dpz ,SIDERAL, 254.055774469,-31.3685066709
Gaia19dqb ,SIDERAL, 266.305906398,-19.1376737649
Gaia19dqd ,SIDERAL, 243.725359669,-40.1782214924
Gaia19dqe ,SIDERAL, 99.856348025,-0.369873863764
Gaia19dqf ,SIDERAL, 265.687239028,-19.0984187847
Gaia19dqg ,SIDERAL, 279.337153727,-3.47149752498
Gaia19dqm ,SIDERAL, 290.517594071,11.2931429648
Gaia19dqn ,SIDERAL, 269.405592109,-20.3426344894
Gaia19dqx ,SIDERAL, 226.696807782,-49.4379336091
Gaia19dqz ,SIDERAL, 267.965030459,-21.8090882499
Gaia19drf ,SIDERAL, 280.143123505,-8.84760022514
Gaia19dro ,SIDERAL, 246.310171775,-45.0947394507
Gaia19drp ,SIDERAL, 94.1138465556,16.9658641836
Gaia19drq ,SIDERAL, 281.179495018,-6.36249024511
Gaia19drr ,SIDERAL, 186.894195242,-60.2742960894
Gaia19dry ,SIDERAL, 278.163469014,-13.144183679
Gaia19drz ,SIDERAL, 285.539417075,0.0300688312486
Gaia19dsb ,SIDERAL, 288.501502554,5.20312293447
Gaia19dsn ,SIDERAL, 265.82259423,-33.8288013219
Gaia19dst ,SIDERAL, 183.747873383,-65.7341442783
Gaia19dtd ,SIDERAL, 272.991867249,-29.9230670293
Gaia19dtk ,SIDERAL, 280.429405067,-28.4835967935
Gaia19dtl ,SIDERAL, 159.051225914,-61.5985417545
Gaia19dtz ,SIDERAL, 301.777133802,32.6485234671
Gaia19duh ,SIDERAL, 146.736619538,-61.912976813
Gaia19duw ,SIDERAL, 298.199438716,42.0714702808
Gaia19dva ,SIDERAL, 114.207933866,-27.467505243
Gaia19dvi ,SIDERAL, 291.363516784,31.6619462202
Gaia19dvk ,SIDERAL, 291.30670823,15.914628183
Gaia19dwt ,SIDERAL, 288.220298934,11.2265518349
Gaia19dwz ,SIDERAL, 288.147630427,11.9134197764
Gaia19dxg ,SIDERAL, 285.545841737,-2.91914679709
Gaia19dyo ,SIDERAL, 282.153074905,-5.12344027874
Gaia19dyz ,SIDERAL, 280.923675645,-6.29389075946
Gaia19dzf ,SIDERAL, 111.159072966,15.1153008249
Gaia19dzz ,SIDERAL, 276.582627454,-7.82546410605
Gaia19eaw ,SIDERAL, 278.436856315,-22.9997745018
Gaia19ebg ,SIDERAL, 275.003827147,-15.0081325971
Gaia19eca ,SIDERAL, 272.202034206,-24.8825354718
Gaia19ecq ,SIDERAL, 262.68732571,-24.2099652716
Gaia19edj ,SIDERAL, 256.382697881,-25.1852207586
Gaia19eek ,SIDERAL, 251.268808696,-38.6724901677
Gaia19efp ,SIDERAL, 244.448446034,-56.6494882682
Gaia19ege ,SIDERAL, 57.4255380045,49.5586943025
